control_id,title,description,category,applicability_status,implementation_status
A.5.1,Políticas de seguridad de la información,Proporcionar dirección y apoyo de la gestión para la seguridad de la información de acuerdo con los requisitos del negocio y las leyes y regulaciones relevantes.,Organizacional,aplicable,not_implemented
A.5.2,Roles y responsabilidades de seguridad de la información,Asegurar y apoyar la seguridad de la información de acuerdo con la política de seguridad de la información de la organización.,Organizacional,aplicable,not_implemented
A.5.3,Segregación de funciones,Reducir las oportunidades de modificación no autorizada o no intencionada o el mal uso de los activos de información.,Organizacional,aplicable,not_implemented
A.5.4,Responsabilidades de la dirección,Establecer y mantener un enfoque de gestión para dirigir supervisar y mejorar la seguridad de la información.,Organizacional,aplicable,not_implemented
A.5.5,Contacto con autoridades,Mantener contactos apropiados con las autoridades relevantes.,Organizacional,aplicable,not_implemented
A.5.6,Contacto con grupos de interés especial,Mantener contactos apropiados con grupos de interés especial u otros foros y asociaciones profesionales de seguridad.,Organizacional,aplicable,not_implemented
A.5.7,Inteligencia de amenazas,Recopilar y analizar información sobre amenazas de seguridad de la información para producir inteligencia de amenazas.,Organizacional,aplicable,not_implemented
A.5.8,Seguridad de la información en la gestión de proyectos,Integrar la seguridad de la información en la gestión de proyectos.,Organizacional,aplicable,not_implemented
A.5.9,Inventario de información y otros activos asociados,Identificar los activos de información y otros activos asociados para establecer y mantener la propiedad y proteger adecuadamente estos activos.,Organizacional,aplicable,not_implemented
A.5.10,Uso aceptable de la información y otros activos asociados,Identificar documentar e implementar reglas para el uso aceptable de la información y otros activos asociados.,Organizacional,aplicable,not_implemented
A.5.11,Devolución de activos,Prevenir la divulgación modificación eliminación o destrucción no autorizadas de información almacenada en los activos devueltos.,Organizacional,aplicable,not_implemented
A.5.12,Clasificación de la información,Asegurar que la información reciba un nivel apropiado de protección de acuerdo con su importancia para la organización.,Organizacional,aplicable,not_implemented
A.5.13,Etiquetado de la información,Asegurar que se conozca el nivel apropiado de protección de la información.,Organizacional,aplicable,not_implemented
A.5.14,Transferencia de información,Mantener la seguridad de la información transferida dentro de la organización y con cualquier parte externa.,Organizacional,aplicable,not_implemented
A.5.15,Control de acceso,Gestionar el acceso físico y lógico a la información y otros activos asociados.,Organizacional,aplicable,not_implemented
A.5.16,Gestión de identidades,Gestionar el ciclo de vida completo de las identidades.,Organizacional,aplicable,not_implemented
A.5.17,Información de autenticación,Asignar y gestionar la información de autenticación.,Organizacional,aplicable,not_implemented
A.5.18,Derechos de acceso,Proporcionar acceso a la información y otros activos asociados según lo autorizado.,Organizacional,aplicable,not_implemented
A.5.19,Seguridad de la información en las relaciones con proveedores,Procesos y procedimientos para gestionar la seguridad de la información en las relaciones con proveedores.,Organizacional,aplicable,not_implemented
